,Appellation,Robert,Robinson,Suckling,Prix
536,Saint-Emilion,90.0,15.5,92.0,22.50
537,Pessac-Léognan,93.0,17.5,97.0,97.00
538,Pomerol,93.0,,94.0,85.00
539,Pauillac,92.0,,94.5,51.17
540,Saint-Estèphe,90.0,16.5,93.0,59.00
541,Moulis,90.0,15.5,92.5,29.33
542,Pessac-Léognan,90.0,16.5,92.0,29.50
543,Moulis,90.0,16.5,92.5,25.00
544,Barsac,94.0,17.5,,124.83
545,Pessac-Léognan,92.0,16,93.5,33.00
546,Saint-Emilion,98.0,18,100.0,395.00
547,Saint-Emilion,91.0,15,92.0,23.50
548,Saint-Emilion,,16.5,94.5,66.00
549,Saint-Emilion,91.0,16.5,94.0,24.50
550,Pessac-Léognan,88.0,,93.0,22.33
551,Lalande de Pomerol,,17,91.0,20.00
552,Haut-Médoc,,,90.0,16.50
553,Saint-Estèphe,92.0,17,95.0,62.00
554,Saint-Estèphe,94.0,18,99.0,282.00
555,Margaux,85.0,15,93.0,47.00
556,Pauillac,92.0,16.5,92.0,54.00
557,Saint-Emilion,89.0,14.5,92.0,93.00
558,Puisseguin-Saint-Emilion,88.0,,93.5,51.67
559,Saint-Emilion,92.0,16.5,93.0,24.50
560,Pauillac,97.0,16.5,97.5,98.00
561,Canon-Fronsac,91.0,,92.0,22.83
562,Pauillac,91.0,17.5,95.0,65.00
563,Pomerol,86.0,16,91.0,38.00
564,Margaux,92.0,16.5,96.0,45.00
565,Saint-Emilion,92.0,16,93.0,24.00
566,Saint-Emilion,90.5,16,92.5,135.83
567,Saint-Emilion,91.0,16.5,93.5,249.17
